# zmp::izac::GPSRecPlay Ver1.01 (20151024)
# recorder zmp::izac::GPSRecPlay Ver0.0.0-5-g1f7d17d
# sender zmp::izac::AdvancedNavigationGPS Ver0.0.0-12-gb63bd2c-dirty
# logtime, timestamp, availability, latitude, longitude, fixQuality, numSatellites, hdop, altitude, magVariation, heading, direction, speed,
3.974284547,2020-02-19 07:32:21.755654,1,0,0,0,0,0,0,0,0,0,0,
4.033880808,2020-02-19 07:32:21.815250,1,0,0,0,0,0,0,0,0,0,0,
4.093492367000001,2020-02-19 07:32:21.874860,1,0,0,0,0,0,0,0,0,0,0,
4.114612220000001,2020-02-19 07:32:21.895983,1,0,0,0,0,0,0,0,0,0,0,
4.174247625,2020-02-19 07:32:21.955617,1,0,0,0,0,0,0,0,0,0,0,
4.233882083,2020-02-19 07:32:22.015251,1,0,0,0,0,0,0,0,0,0,0,
4.293506219,2020-02-19 07:32:22.074873,1,0,0,0,0,0,0,0,0,0,0,
4.314586891,2020-02-19 07:32:22.095957,1,0,0,0,0,0,0,0,0,0,0,
4.374219323,2020-02-19 07:32:22.155589,1,0,0,0,0,0,0,0,0,0,0,
4.433834601,2020-02-19 07:32:22.215204,1,0,0,0,0,0,0,0,0,0,0,
4.4851656,2020-02-19 07:32:22.266532,1,0,0,0,0,0,0,0,0,0,0,
4.514572221,2020-02-19 07:32:22.295943,1,0,0,0,0,0,0,0,0,0,0,
4.574209916,2020-02-19 07:32:22.355579,1,0,0,0,0,0,0,0,0,0,0,
4.633833210000001,2020-02-19 07:32:22.415202,1,0,0,0,0,0,0,0,0,0,0,
4.685250577000001,2020-02-19 07:32:22.466586,1,0,0,0,0,0,0,0,0,0,0,
4.71458246,2020-02-19 07:32:22.495913,1,0,0,0,0,0,0,0,0,0,0,
4.774243917000001,2020-02-19 07:32:22.555573,1,0,0,0,0,0,0,0,0,0,0,
4.833870708,2020-02-19 07:32:22.615203,1,0,0,0,0,0,0,0,0,0,0,
4.885148190000001,2020-02-19 07:32:22.666515,1,0,0,0,0,0,0,0,0,0,0,
4.914548225,2020-02-19 07:32:22.695873,1,0,0,0,0,0,0,0,0,0,0,
4.974181481,2020-02-19 07:32:22.755501,1,0,0,0,0,0,0,0,0,0,0,
5.033818774,2020-02-19 07:32:22.815134,1,0,0,0,0,0,0,0,0,0,0,
5.085117463,2020-02-19 07:32:22.866455,1,0,0,0,0,0,0,0,0,0,0,
5.114555999,2020-02-19 07:32:22.895890,1,0,0,0,0,0,0,0,0,0,0,
5.174176379,2020-02-19 07:32:22.955491,1,0,0,0,0,0,0,0,0,0,0,
5.233787396,2020-02-19 07:32:23.015120,1,0,0,0,0,0,0,0,0,0,0,
5.285103713000001,2020-02-19 07:32:23.066469,1,0,0,0,0,0,0,0,0,0,0,
5.314548649000001,2020-02-19 07:32:23.095825,1,0,0,0,0,0,0,0,0,0,0,
5.374145521,2020-02-19 07:32:23.155459,1,0,0,0,0,0,0,0,0,0,0,
5.433735782,2020-02-19 07:32:23.215083,1,0,0,0,0,0,0,0,0,0,0,
5.485114249,2020-02-19 07:32:23.266458,1,0,0,0,0,0,0,0,0,0,0,
5.514493665000001,2020-02-19 07:32:23.295814,1,0,0,0,0,0,0,0,0,0,0,
5.574082262,2020-02-19 07:32:23.355412,1,0,0,0,0,0,0,0,0,0,0,
5.633719202,2020-02-19 07:32:23.415053,1,0,0,0,0,0,0,0,0,0,0,
5.685082055000001,2020-02-19 07:32:23.466422,1,0,0,0,0,0,0,0,0,0,0,
5.714488334,2020-02-19 07:32:23.495780,1,0,0,0,0,0,0,0,0,0,0,
5.774099391,2020-02-19 07:32:23.555433,1,0,0,0,0,0,0,0,0,0,0,
5.833665189,2020-02-19 07:32:23.615006,1,0,0,0,0,0,0,0,0,0,0,
5.885060384,2020-02-19 07:32:23.666401,1,0,0,0,0,0,0,0,0,0,0,
5.914405787000001,2020-02-19 07:32:23.695744,1,0,0,0,0,0,0,0,0,0,0,
5.974010637,2020-02-19 07:32:23.755341,1,0,0,0,0,0,0,0,0,0,0,
6.03364961,2020-02-19 07:32:23.814990,1,0,0,0,0,0,0,0,0,0,0,
6.085120915,2020-02-19 07:32:23.866459,1,0,0,0,0,0,0,0,0,0,0,
6.114406743,2020-02-19 07:32:23.895742,1,0,0,0,0,0,0,0,0,0,0,
6.173998261,2020-02-19 07:32:23.955330,1,0,0,0,0,0,0,0,0,0,0,
6.225330852000001,2020-02-19 07:32:24.006660,1,0,0,0,0,0,0,0,0,0,0,
6.284965740000001,2020-02-19 07:32:24.066335,1,0,0,0,0,0,0,0,0,0,0,
6.314365212,2020-02-19 07:32:24.095695,1,0,0,0,0,0,0,0,0,0,0,
