# zmp::izac::ad::VehicleStatusRecPlay Ver2.00 (20181119)
# recorder zmp::izac::ad::VehicleStatusRecPlay Ver0.0.0-2-g49a0c9d-dirty
# sender zmp::izac::RobocarControllerComponent Ver0.0.0-10-gb58cd72
logtime, timestamp, availability, wheelSpeedFR, wheelSpeedFL, wheelSpeedRR, wheelSpeedRL, velocity, steeringAngle, accelPedal, brakePedal, yawrate, shiftPosition, steeringMode, steeringControlMode, steeringOverrideMode, steeringServoMode, driveMode, driveControlMode, driveOverrideMode, driveServoMode, lvl4State, 
0.9444841860000001,2020-02-19 07:32:18.725828,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
0.9544598700000001,2020-02-19 07:32:18.735828,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
0.9644955300000001,2020-02-19 07:32:18.745828,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
0.9745379850000001,2020-02-19 07:32:18.755880,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
0.984426215,2020-02-19 07:32:18.765795,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
0.994432054,2020-02-19 07:32:18.775798,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.004456021,2020-02-19 07:32:18.785796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.014458261,2020-02-19 07:32:18.795828,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.02448914,2020-02-19 07:32:18.805828,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.034456182,2020-02-19 07:32:18.815796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.044459513,2020-02-19 07:32:18.825828,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.054427163,2020-02-19 07:32:18.835797,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.064456469,2020-02-19 07:32:18.845796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.074471102,2020-02-19 07:32:18.855839,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.084481679,2020-02-19 07:32:18.865804,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.09442973,2020-02-19 07:32:18.875797,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.104489561,2020-02-19 07:32:18.885828,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.114492694,2020-02-19 07:32:18.895831,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.124490315,2020-02-19 07:32:18.905828,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.134453336,2020-02-19 07:32:18.915822,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.144455753,2020-02-19 07:32:18.925825,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.154456506,2020-02-19 07:32:18.935796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.164463609,2020-02-19 07:32:18.945796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.174483648,2020-02-19 07:32:18.955822,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.184484805,2020-02-19 07:32:18.965824,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.194460625,2020-02-19 07:32:18.975829,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.204454533,2020-02-19 07:32:18.985824,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.214460268,2020-02-19 07:32:18.995829,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.224482844,2020-02-19 07:32:19.005822,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.234425691,2020-02-19 07:32:19.015796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.244499742,2020-02-19 07:32:19.025824,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.254457094,2020-02-19 07:32:19.035795,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.264456223,2020-02-19 07:32:19.045796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.274456574,2020-02-19 07:32:19.055796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.284458741,2020-02-19 07:32:19.065795,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.29445815,2020-02-19 07:32:19.075796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.3044561,2020-02-19 07:32:19.085796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.314457268,2020-02-19 07:32:19.095797,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.324457752,2020-02-19 07:32:19.105796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.334470574,2020-02-19 07:32:19.115797,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.344427186,2020-02-19 07:32:19.125796,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.354436066,2020-02-19 07:32:19.135807,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.364455504,2020-02-19 07:32:19.145797,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
1.374455559,2020-02-19 07:32:19.155795,1,0,0,0,0,0,-0.1570796326794897,0,0.0023,0,128,0,16,0,255,0,16,0,255,0,
